,Contact Infectivity,Duration,Infectious,Recovered,Recovering,Succumbing,Susceptible,Total Population
0.0,0.3,5,5.0,0.0,1.0,1.5,1000.0,1000
0.125,0.3,5,5.06278024468588,0.12558710388182687,1.0125560489371759,1.518547974658442,999.8116326514322,1000
0.25,0.3,5,5.126312495760718,0.25275074822382837,1.0252624991521437,1.5373107897349187,999.6209367560153,1000
0.375,0.3,5,5.190604831673227,0.381509808798521,1.0381209663346453,1.556290563196837,999.4278853595281,1000
0.5,0.3,5,5.25566539359717,0.5118833639280006,1.0511330787194342,1.5754894242463038,999.2324512424748,1000
0.625,0.3,5,5.321502385259033,0.6438906960504983,1.0643004770518067,1.59490951310224,999.0346069186905,1000
0.75,0.3,5,5.388124072742504,0.7775512932824105,1.0776248145485008,1.6145529807725467,998.8343246339751,1000
0.875,0.3,5,5.455538784269126,0.9128848509752205,1.0911077568538252,1.6344219888161222,998.6315763647558,1000
1.0,0.3,5,5.5237549099544205,1.0499112732667073,1.104750981990884,1.654518709094467,998.426333816779,1000
1.125,0.3,5,5.592780901538801,1.1886506746258214,1.1185561803077602,1.6748453235126688,998.2185684238353,1000
1.25,0.3,5,5.662625272092568,1.3291233813905936,1.1325250544185137,1.6954040237495094,998.0082513465168,1000
1.375,0.3,5,5.733296595694273,1.471349933298419,1.1466593191388545,1.7161970109764666,997.7953534710073,1000
1.5,0.3,5,5.8048035070817265,1.6153510850080461,1.1609607014163452,1.7372264955653651,997.5798454079102,1000
1.625,0.3,5,5.8771547012749075,1.7611478076125775,1.1754309402549814,1.758494696784424,997.3616974911124,1000
1.75,0.3,5,5.950358933170022,1.908761290142778,1.1900717866340043,1.7800038424824673,997.1408797766871,1000
1.875,0.3,5,6.024425017103941,2.0582129410599523,1.2048850034207883,1.8017561687610313,996.9173620418361,1000
2.0,0.3,5,6.099361826388262,2.2095243897376564,1.2198723652776524,1.8237539196341281,996.6911137838741,1000
2.125,0.3,5,6.175178292812177,2.362717487931465,1.2350356585624354,1.8459993466754092,996.4621042192564,1000
2.25,0.3,5,6.251883406113379,2.5178143112360143,1.2503766812226758,1.8684947086524655,996.2303022826507,1000
2.375,0.3,5,6.329486213416156,2.6748371605285133,1.2658972426832311,1.8912422711480141,995.9956766260555,1000
