,Characteristic Time,Heat Loss to Room,Room Temperature,Teacup Temperature
0,100,0.1,70,80.0
1,100,0.09900436407957272,70,79.90043640795727
2,100,0.09801864106800594,70,79.8018641068006
3,100,0.0970427322688181,70,79.70427322688181
4,100,0.09607653996818584,70,79.60765399681858
5,100,0.09511996742515891,70,79.51199674251589
6,100,0.09417291886197518,70,79.41729188619752
7,100,0.0932352994544705,70,79.32352994544705
8,100,0.09230701532258394,70,79.2307015322584
9,100,0.09138797352095822,70,79.13879735209582
10,100,0.09047808202963296,70,79.0478082029633
11,100,0.08957724974483212,70,78.95772497448321
12,100,0.08868538646984177,70,78.86853864698418
13,100,0.08780240290597846,70,78.78024029059785
14,100,0.08692821064364821,70,78.69282106436482
15,100,0.08606272215349535,70,78.60627221534953
16,100,0.08520585077763769,70,78.52058507776377
17,100,0.08435751072098994,70,78.435751072099
18,100,0.0835176170426736,70,78.35176170426736
19,100,0.08268608564751176,70,78.26860856475118
20,100,0.08186283327760989,70,78.18628332776099
21,100,0.08104777750401851,70,78.10477775040185
22,100,0.08024083671848047,70,78.02408367184805
23,100,0.07944193012525985,70,77.94419301252599
24,100,0.07865097773305223,70,77.86509777330522
25,100,0.0778679003469749,70,77.78679003469749
26,100,0.07709261956063812,70,77.70926195606381
27,100,0.07632505774829397,70,77.6325057748294
28,100,0.07556513805706516,70,77.55651380570652
29,100,0.07481278439924864,70,77.48127843992486
30,100,0.07406792144469776,70,77.40679214446978
31,100,0.07333047461328078,70,77.33304746132808
32,100,0.0726003700674113,70,77.26003700674113
33,100,0.07187753470465694,70,77.1877534704657
34,100,0.07116189615041989,70,77.11618961504199
35,100,0.07045338275068914,70,77.04533827506891
36,100,0.06975192356486716,70,76.97519235648672
37,100,0.06905744835866642,70,76.90574483586664
38,100,0.06836988759707723,70,76.83698875970772
39,100,0.0676891724374049,70,76.76891724374049
40,100,0.06701523472237823,70,76.70152347223782
41,100,0.06634800697332381,70,76.63480069733238
42,100,0.06568742238340988,70,76.56874223834099
43,100,0.06503341481095788,70,76.50334148109579
44,100,0.0643859187728195,70,76.43859187728195
45,100,0.06374486943782032,70,76.37448694378203
46,100,0.06311020262026801,70,76.3110202620268
47,100,0.06248185477352635,70,76.24818547735264
48,100,0.0618597629836519,70,76.18597629836519
49,100,0.06124386496309555,70,76.12438649630955
50,100,0.06063409904446502,70,76.0634099044465
51,100,0.060030404174350877,70,76.00304041743509
52,100,0.059432719907213286,70,75.94327199072133
53,100,0.058840986399329866,70,75.88409863993299
54,100,0.05825514440280443,70,75.82551444028044
55,100,0.057675135259633234,70,75.76751352596332
