00:00:00:000   	outinfectious			5
00:00:00:036			outrecovered			0.0183486
00:00:00:0379			outrecovered			0.0185321
00:00:00:037			outrecovered			0.0187174
00:00:00:037			outrecovered			0.0189046
00:00:00:038			outrecovered			0.0190937
00:00:00:038			outrecovered			0.0192846
00:00:00:038			outrecovered			0.0194774
00:00:00:039			outrecovered			0.0196722
00:00:00:039			outrecovered			0.0198689
00:00:00:040			outrecovered			0.0200676
00:00:00:040			outrecovered			0.0202683
00:00:00:040			outrecovered			0.020471
00:00:00:041			outrecovered			0.0206757
00:00:00:041			outrecovered			0.0208825
00:00:00:042			outrecovered			0.0210913
00:00:00:042			outrecovered			0.0213022
00:00:00:0435			outrecovered			0.0215152
00:00:00:043			outrecovered			0.0217304
00:00:00:043			outrecovered			0.0219477
00:00:00:044			outrecovered			0.0221672
00:00:00:044			outrecovered			0.0223888
00:00:00:045			outrecovered			0.0226127
00:00:00:045			outrecovered			0.0228388
00:00:00:046			outrecovered			0.0230672
00:00:00:046			outrecovered			0.0232979
00:00:00:0477			outrecovered			0.0235309
00:00:00:047			outrecovered			0.0237662
00:00:00:04897			outrecovered			0.0240038
00:00:00:048			outrecovered			0.0242439
00:00:00:048			outrecovered			0.0244863
00:00:00:049			outrecovered			0.0247312
00:00:00:049			outrecovered			0.0249785
00:00:00:050   	outinfectious			5.05
00:00:00:050   		outrecovered			0.0252283
00:00:00:050   		outrecovered			0.0254806
00:00:00:051			outrecovered			0.0257354
00:00:00:051			outrecovered			0.0259927
00:00:00:052			outrecovered			0.0262527
00:00:00:053505			outrecovered			0.0265152
00:00:00:053			outrecovered			0.0267803
00:00:00:0543			outrecovered			0.0270481
00:00:00:054			outrecovered			0.0273186
00:00:00:055			outrecovered			0.0275918
00:00:00:055			outrecovered			0.0278677
00:00:00:056			outrecovered			0.0281464
00:00:00:056			outrecovered			0.0284279
00:00:00:057			outrecovered			0.0287121
00:00:00:057			outrecovered			0.0289993
00:00:00:058			outrecovered			0.0292893
00:00:00:0599			outrecovered			0.0295821
00:00:00:059			outrecovered			0.029878
00:00:00:060   		outrecovered			0.0301767
00:00:00:060			outrecovered			0.0304785
00:00:00:061			outrecovered			0.0307833
00:00:00:0628			outrecovered			0.0310911
00:00:00:062			outrecovered			0.031402
00:00:00:063			outrecovered			0.0317161
00:00:00:063			outrecovered			0.0320332
00:00:00:064			outrecovered			0.0323536
00:00:00:065   		outrecovered			0.0326771
00:00:00:065			outrecovered			0.0330039
00:00:00:066			outrecovered			0.0333339
00:00:00:067			outrecovered			0.0336672
00:00:00:067			outrecovered			0.0340039
00:00:00:068			outrecovered			0.034344
00:00:00:069			outrecovered			0.0346874
00:00:00:069			outrecovered			0.0350343
00:00:00:070			outrecovered			0.0353846
00:00:00:071			outrecovered			0.0357385
00:00:00:071			outrecovered			0.0360958
00:00:00:072			outrecovered			0.0364568
00:00:00:073			outrecovered			0.0368214
00:00:00:074			outrecovered			0.0371896
00:00:00:074			outrecovered			0.0375615
00:00:00:075			outrecovered			0.0379371
00:00:00:076			outrecovered			0.0383165
00:00:00:077			outrecovered			0.0386996
00:00:00:077			outrecovered			0.0390866
00:00:00:078			outrecovered			0.0394775
00:00:00:079			outrecovered			0.0398723
00:00:00:080			outrecovered			0.040271
00:00:00:0819			outrecovered			0.0406737
00:00:00:081			outrecovered			0.0410804
00:00:00:082			outrecovered			0.0414912
00:00:00:083			outrecovered			0.0419062
00:00:00:084			outrecovered			0.0423252
00:00:00:085			outrecovered			0.0427485
00:00:00:085			outrecovered			0.043176
00:00:00:086			outrecovered			0.0436077
00:00:00:087			outrecovered			0.0440438
00:00:00:088			outrecovered			0.0444842
00:00:00:089			outrecovered			0.0449291
00:00:00:090			outrecovered			0.0453784
00:00:00:091			outrecovered			0.0458321
00:00:00:092			outrecovered			0.0462905
00:00:00:0938			outrecovered			0.0467534
00:00:00:09404			outrecovered			0.0472209
00:00:00:094			outrecovered			0.0476931
00:00:00:095			outrecovered			0.04817
00:00:00:096			outrecovered			0.0486517
00:00:00:097			outrecovered			0.0491383
00:00:00:098   		outrecovered			0.0496296
00:00:00:099			outrecovered			0.0501259
00:00:00:100   	outinfectious			5.1005
00:00:00:100			outrecovered			0.0506272
00:00:00:101			outrecovered			0.0511335
00:00:00:102			outrecovered			0.0516448
00:00:00:103			outrecovered			0.0521613
00:00:00:104			outrecovered			0.0526829
00:00:00:105			outrecovered			0.0532097
00:00:00:106			outrecovered			0.0537418
00:00:00:107			outrecovered			0.0542792
00:00:00:108			outrecovered			0.054822
00:00:00:1104			outrecovered			0.0553702
00:00:00:111			outrecovered			0.0559239
00:00:00:112			outrecovered			0.0564832
00:00:00:113			outrecovered			0.057048
00:00:00:114			outrecovered			0.0576185
00:00:00:115			outrecovered			0.0581947
00:00:00:116			outrecovered			0.0587766
00:00:00:117			outrecovered			0.0593644
00:00:00:1194			outrecovered			0.059958
00:00:00:120			outrecovered			0.0605576
00:00:00:121			outrecovered			0.0611632
00:00:00:122			outrecovered			0.0617748
00:00:00:123			outrecovered			0.0623926
00:00:00:1256			outrecovered			0.0630165
00:00:00:126			outrecovered			0.0636466
00:00:00:127			outrecovered			0.0642831
00:00:00:128			outrecovered			0.0649259
00:00:00:130			outrecovered			0.0655752
00:00:00:131			outrecovered			0.066231
00:00:00:132			outrecovered			0.0668933
00:00:00:133			outrecovered			0.0675622
00:00:00:135			outrecovered			0.0682378
00:00:00:136			outrecovered			0.0689202
00:00:00:137			outrecovered			0.0696094
00:00:00:139			outrecovered			0.0703055
00:00:00:140			outrecovered			0.0710085
00:00:00:1421			outrecovered			0.0717186
00:00:00:143			outrecovered			0.0724358
00:00:00:144			outrecovered			0.0731602
00:00:00:146			outrecovered			0.0738918
00:00:00:147			outrecovered			0.0746307
00:00:00:149			outrecovered			0.075377
00:00:00:150   	outinfectious			5.15151
00:00:00:150			outrecovered			0.0761308
00:00:00:152			outrecovered			0.0768921
00:00:00:153   		outrecovered			0.077661
00:00:00:155   		outrecovered			0.0784376
00:00:00:156			outrecovered			0.079222
00:00:00:158			outrecovered			0.0800142
00:00:00:159			outrecovered			0.0808143
00:00:00:161			outrecovered			0.0816225
00:00:00:162			outrecovered			0.0824387
00:00:00:164			outrecovered			0.0832631
00:00:00:166   		outrecovered			0.0840957
00:00:00:167   		outrecovered			0.0849367
00:00:00:169			outrecovered			0.0857861
00:00:00:171			outrecovered			0.0866439
00:00:00:172   		outrecovered			0.0875104
00:00:00:174			outrecovered			0.0883855
00:00:00:176			outrecovered			0.0892693
00:00:00:177			outrecovered			0.090162
00:00:00:179			outrecovered			0.0910636
00:00:00:181   		outrecovered			0.0919743
00:00:00:183			outrecovered			0.092894
00:00:00:1858			outrecovered			0.0938229
00:00:00:186			outrecovered			0.0947612
00:00:00:188			outrecovered			0.0957088
00:00:00:190			outrecovered			0.0966659
00:00:00:192			outrecovered			0.0976325
00:00:00:194			outrecovered			0.0986089
00:00:00:196			outrecovered			0.0995949
00:00:00:198			outrecovered			0.100591
00:00:00:200   	outinfectious			5.20302
00:00:00:200			outrecovered			0.101597
00:00:00:202			outrecovered			0.102613
00:00:00:2042			outrecovered			0.103639
00:00:00:2063			outrecovered			0.104675
00:00:00:2082			outrecovered			0.105722
00:00:00:210			outrecovered			0.106779
00:00:00:212   		outrecovered			0.107847
00:00:00:214			outrecovered			0.108926
00:00:00:216			outrecovered			0.110015
00:00:00:218			outrecovered			0.111115
00:00:00:220   		outrecovered			0.112226
00:00:00:222			outrecovered			0.113348
00:00:00:224			outrecovered			0.114482
00:00:00:227			outrecovered			0.115627
00:00:00:229			outrecovered			0.116783
00:00:00:231			outrecovered			0.117951
00:00:00:233			outrecovered			0.11913
00:00:00:236			outrecovered			0.120322
00:00:00:238			outrecovered			0.121525
00:00:00:240			outrecovered			0.12274
00:00:00:243			outrecovered			0.123967
00:00:00:245			outrecovered			0.125207
00:00:00:247			outrecovered			0.126459
00:00:00:250   	outinfectious			5.25505
00:00:00:250			outrecovered			0.127724
00:00:00:252			outrecovered			0.129001
00:00:00:255			outrecovered			0.130291
00:00:00:257			outrecovered			0.131594
00:00:00:260			outrecovered			0.13291
00:00:00:262			outrecovered			0.134239
00:00:00:265			outrecovered			0.135581
00:00:00:267			outrecovered			0.136937
00:00:00:270			outrecovered			0.138307
00:00:00:273   		outrecovered			0.13969
00:00:00:275			outrecovered			0.141086
00:00:00:278			outrecovered			0.142497
00:00:00:281			outrecovered			0.143922
00:00:00:283			outrecovered			0.145362
00:00:00:286			outrecovered			0.146815
00:00:00:289			outrecovered			0.148283
00:00:00:292			outrecovered			0.149766
00:00:00:295			outrecovered			0.151264
00:00:00:2986			outrecovered			0.152776
00:00:00:300   	outinfectious			5.3076
00:00:00:300			outrecovered			0.154304
00:00:00:303   		outrecovered			0.155847
00:00:00:306			outrecovered			0.157406
00:00:00:309			outrecovered			0.15898
00:00:00:312			outrecovered			0.16057
00:00:00:315			outrecovered			0.162175
00:00:00:318			outrecovered			0.163797
00:00:00:321			outrecovered			0.165435
