Time,PrevConsumption,PrevOutput,Output,Investment
1.00,0,0,1,0
1.25,0.0143636067708,0.248779296875,1.2344156901,0.110026041667
1.50,0.0527323600319,0.490824484163,1.43809212413,0.19267988205
1.75,0.108738149381,0.72094990547,1.61221175609,0.251736803354
2.00,0.176935092162,0.935445705092,1.75851061293,0.290787760384
2.25,0.252745725326,1.13185369206,1.87910796673,0.313181120704
2.50,0.332395149956,1.30875826417,1.97636311421,0.321983982127
2.75,0.412837609568,1.46559482674,2.05275721717,0.319959803802
3.00,0.491679200664,1.60247711977,2.11079791911,0.309559359223
3.25,0.567099702652,1.720044033,2.15294433035,0.29292231385
3.50,0.637775877711,1.81932582273,2.18154994502,0.271887033656
3.75,0.702808030754,1.90162912831,2.19882109756,0.248006533403
4.00,0.761651133691,1.96843980081,2.20678866712,0.222568766716
4.25,0.814051403882,2.0213422837,2.20729087981,0.196619737966
4.50,0.85998887936,2.06195410749,2.20196522813,0.170988174387
4.75,0.89962624804,2.09187396184,2.1922477138,0.146310732882
5.00,0.933263958728,2.11264177361,2.17937781489,0.123056928079
5.25,0.961301462374,2.12570923639,2.16440777401,0.101553155819
5.50,0.984204296459,2.13241929217,2.14821499572,0.0820053496287
5.75,1.00247662776,2.1340981131,2.13162148534,0.0645724287866
6.00,1.01675949409,2.1340981131,2.11733861901,0.0502895624583
6.25,1.02788311313,2.1340981131,2.10621499997,0.0391659434185
6.50,1.03654628323,2.1340981131,2.09755182987,0.0305027733166
6.75,1.04329323456,2.1340981131,2.09080487854,0.0237558219922
7.00,1.04854781823,2.1340981131,2.08555029487,0.0185012383191
7.25,1.05264013315,2.1340981131,2.08145797995,0.0144089233979
7.50,1.05582726318,2.1340981131,2.07827084992,0.011221793369
7.75,1.05830942744,2.1340981131,2.07578868566,0.00873962911307
8.00,1.06024255829,2.1340981131,2.07385555481,0.00680649825945
8.25,1.06174809721,2.1340981131,2.07235001589,0.0053009593378
8.50,1.06292062386,2.1340981131,2.07117748924,0.0041284326874
8.75,1.06383379769,2.1340981131,2.07026431541,0.00321525885566
9.00,1.06454498532,2.1340981131,2.06955312778,0.00250407122792
9.25,1.06509886436,2.1340981131,2.06899924874,0.00195019219167
9.50,1.06553023011,2.1340981131,2.06856788299,0.00151882643834
9.75,1.06586618147,2.1340981131,2.06823193163,0.00118287508259
10.00,1.06612782327,2.1340981131,2.06797028983,0.000921233279654
10.25,1.06633159215,2.1340981131,2.06776652094,0.000717464395043
10.50,1.06649028911,2.1340981131,2.06760782399,0.000558767436569
10.75,1.06661388367,2.1340981131,2.06748422943,0.000435172881508
11.00,1.06671014017,2.1340981131,2.06738797293,0.000338916379885
11.25,1.06678510556,2.1340981131,2.06731300754,0.000263950989217
11.50,1.06684348925,2.1340981131,2.06725462385,0.000205567298731
11.75,1.06688895897,2.1340981131,2.06720915413,0.000160097578846
12.00,1.06692437118,2.1340981131,2.06717374192,0.000124685370244
12.25,1.06695195051,2.1340981131,2.06714616259,0.0000971060378607
12.50,1.06697342953,2.1340981131,2.06712468357,0.000075627016791
12.75,1.06699015758,2.1340981131,2.06710795552,0.0000588989705965
13.00,1.06700318553,2.1340981131,2.06709492757,0.0000458710244635
13.25,1.0670133318,2.1340981131,2.0670847813,0.0000357247480562
13.50,1.06702123381,2.1340981131,2.06707687929,0.0000278227407957
13.75,1.06702738796,2.1340981131,2.06707072514,0.0000216685896335
14.00,1.06703218087,2.1340981131,2.06706593223,0.000016875683821
14.25,1.06703591362,2.1340981131,2.06706219948,0.0000131429275851
14.50,1.06703882072,2.1340981131,2.06705929237,0.0000102358249503
14.75,1.0670410848,2.1340981131,2.0670570283,0.00000797174843536
15.00,1.06704284808,2.1340981131,2.06705526502,0.00000620846618871
15.25,1.06704422134,2.1340981131,2.06705389176,0.00000483520682182
15.50,1.06704529085,2.1340981131,2.06705282225,0.00000376570062532
15.75,1.06704612379,2.1340981131,2.06705198931,0.0000029327600084
16.00,1.06704677249,2.1340981131,2.06705134061,0.00000228405869795
16.25,1.06704727771,2.1340981131,2.06705083539,0.00000177884454255
16.50,1.06704767117,2.1340981131,2.06705044193,0.00000138537941674
16.75,1.0670479776,2.1340981131,2.0670501355,0.00000107894539525
17.00,1.06704821626,2.1340981131,2.06704989684,8.40291946025E-07
17.25,1.06704840212,2.1340981131,2.06704971098,6.5442658892E-07
17.50,1.06704854688,2.1340981131,2.06704956622,5.09673051541E-07
17.75,1.06704865961,2.1340981131,2.06704945349,3.96937752445E-07
Final,1.06704874741,2.1340981131,2.06704936569,3.09138532772E-07
