,Recovered,Infectious,Susceptible
0.0,0.0,5.0,1000.0
0.03125,0.015625,5.03125,999.953125
0.0625,0.03134765625,5.0626931015,999.905959242
0.09375,0.0471685721922,5.09433046995,999.858500958
0.125,0.0630883549108,5.12616327749,999.810748368
0.15625,0.0791076151529,5.15819270296,999.762699682
0.1875,0.0952269673497,5.19041993197,999.714353101
0.21875,0.111447029637,5.22284615691,999.665706813
0.25,0.127768423877,5.255472577,999.616758999
0.28125,0.144191775681,5.2883003983,999.567507826
0.3125,0.160717714425,5.32133083377,999.517951452
0.34375,0.177346873281,5.3545651033,999.468088023
0.375,0.194079889229,5.38800443372,999.417915677
0.40625,0.210917403084,5.42165005887,999.367432538
0.4375,0.227860059518,5.45550321962,999.316636721
0.46875,0.244908507079,5.4895651639,999.265526329
0.5,0.262063398216,5.52383714672,999.214099455
0.53125,0.2793253893,5.55832043026,999.16235418
0.5625,0.296695140645,5.59301628385,999.110288576
0.59375,0.314173316532,5.62792598403,999.057900699
0.625,0.331760585232,5.66305081457,999.0051886
0.65625,0.349457619027,5.69839206653,998.952150314
0.6875,0.367265094235,5.73395103827,998.898783867
0.71875,0.38518369123,5.76972903552,998.845087273
0.75,0.403214094466,5.80572737136,998.791058534
0.78125,0.421356992501,5.84194736633,998.736695641
0.8125,0.439613078021,5.87839034839,998.681996574
0.84375,0.45798304786,5.91505765302,998.626959299
0.875,0.476467603025,5.95195062321,998.571581774
0.90625,0.495067448723,5.98907060953,998.515861942
0.9375,0.513783294378,6.02641897014,998.459797735
0.96875,0.532615853659,6.06399707085,998.403387075
1.0,0.551565844506,6.10180628515,998.34662787
1.03125,0.570633989147,6.13984799421,998.289518017
1.0625,0.589821014129,6.17812358699,998.232055399
1.09375,0.609127650338,6.21663446022,998.174237889
1.125,0.628554633026,6.25538201845,998.116063349
1.15625,0.648102701834,6.2943676741,998.057529624
1.1875,0.667772600816,6.33359284747,997.998634552
1.21875,0.687565078464,6.37305896683,997.939375955
1.25,0.707480887735,6.41276746838,997.879751644
1.28125,0.727520786074,6.45271979638,997.819759418
1.3125,0.747685535438,6.49291740309,997.759397061
1.34375,0.767975902322,6.53336174889,997.698662349
1.375,0.788392657788,6.57405430228,997.63755304
1.40625,0.808936577482,6.6149965399,997.576066883
1.4375,0.829608441669,6.65618994663,997.514201612
1.46875,0.850409035253,6.69763601555,997.451954949
1.5,0.871339147801,6.73933624804,997.389324604
1.53125,0.892399573576,6.78129215378,997.326308273
1.5625,0.913591111557,6.82350525082,997.262903638
1.59375,0.934914565466,6.8659770656,997.199108369
1.625,0.956370743796,6.90870913297,997.134920123
1.65625,0.977960459836,6.95170299627,997.070336544
1.6875,0.9996845317,6.99496020733,997.005355261
1.71875,1.02154378235,7.03848232656,996.939973891
1.75,1.04353903962,7.08227092292,996.874190037
1.78125,1.06567113625,7.126327574,996.80800129
1.8125,1.08794090992,7.17065386607,996.741405224
1.84375,1.11034920325,7.21525139409,996.674399403
1.875,1.13289686386,7.26012176176,996.606981374
1.90625,1.15558474436,7.30526658157,996.539148674
1.9375,1.17841370243,7.35068747482,996.470898823
1.96875,1.20138460079,7.39638607166,996.402229328
2.0,1.22449830726,7.44236401116,996.333137682
2.03125,1.2477556948,7.48862294132,996.263621364
2.0625,1.27115764149,7.5351645191,996.193677839
2.09375,1.29470503061,7.5819904105,996.123304559
2.125,1.31839875065,7.62910229055,996.052498959
2.15625,1.3422396953,7.67650184341,995.981258461
2.1875,1.36622876356,7.72419076233,995.909580474
2.21875,1.3903668597,7.77217074978,995.837462391
2.25,1.41465489329,7.82044351741,995.764901589
2.28125,1.43909377928,7.86901078613,995.691895435
2.3125,1.46368443799,7.91787428615,995.618441276
2.34375,1.48842779513,7.96703575703,995.544536448
2.375,1.51332478187,8.01649694766,995.47017827
2.40625,1.53837633483,8.06625961637,995.395364049
2.4375,1.56358339614,8.11632553095,995.320091073
2.46875,1.58894691342,8.16669646867,995.244356618
2.5,1.61446783988,8.21737421632,995.168157944
2.53125,1.64014713431,8.26836057029,995.091492295
2.5625,1.66598576109,8.31965733656,995.014356902
2.59375,1.69198469027,8.37126633077,994.936748979
2.625,1.71814489755,8.42318937825,994.858665724
2.65625,1.74446736436,8.47542831406,994.780104322
2.6875,1.77095307784,8.52798498304,994.701061939
2.71875,1.79760303091,8.58086123983,994.621535729
2.75,1.82441822229,8.63405894893,994.541522829
2.78125,1.8513996565,8.68757998473,994.461020359
2.8125,1.87854834396,8.74142623156,994.380025424
2.84375,1.90586530093,8.79559958369,994.298535115
2.875,1.93335154963,8.85010194545,994.216546505
2.90625,1.96100811821,8.90493523117,994.134056651
2.9375,1.98883604081,8.96010136531,994.051062594
2.96875,2.01683635757,9.01560228245,993.96756136
3.0,2.0450101147,9.07143992733,993.883549958
3.03125,2.07335836448,9.12761625492,993.799025381
3.0625,2.10188216527,9.18413323042,993.713984604
3.09375,2.13058258162,9.24099282933,993.628424589
3.125,2.15946068421,9.29819703749,993.542342278
3.15625,2.18851754995,9.35574785109,993.455734599
3.1875,2.21775426199,9.41364727675,993.368598461
3.21875,2.24717190973,9.47189733153,993.280930759
3.25,2.27677158889,9.53050004297,993.192728368
3.28125,2.30655440152,9.58945744915,993.103988149
3.3125,2.33652145605,9.64877159872,993.014706945
3.34375,2.3666738673,9.70844455092,992.924881582
3.375,2.39701275652,9.76847837566,992.834508868
3.40625,2.42753925144,9.82887515353,992.743585595
3.4375,2.4582544863,9.88963697582,992.652108538
3.46875,2.48915960185,9.95076594461,992.560074454
3.5,2.52025574542,10.0122641728,992.467480082
3.53125,2.55154407096,10.0741337841,992.374322145
3.5625,2.58302573904,10.136376913,992.280597348
3.59375,2.61470191689,10.1989957052,992.186302378
3.625,2.64657377847,10.2619923171,992.091433904
3.65625,2.67864250446,10.3253689162,991.995988579
3.6875,2.71090928233,10.3891276809,991.899963037
3.71875,2.74337530633,10.453270801,991.803353893
3.75,2.77604177758,10.5178004769,991.706157745
3.78125,2.80890990407,10.5827189208,991.608371175
3.8125,2.8419809007,10.6480283554,991.509990744
3.84375,2.87525598931,10.7137310152,991.411012995
3.875,2.90873639873,10.7798291457,991.311434456
3.90625,2.94242336481,10.8463250036,991.211251632
3.9375,2.97631813045,10.9132208572,991.110461012
3.96875,3.01042194563,10.9805189859,991.009059068
4.0,3.04473606746,11.0482216809,990.907042252
4.03125,3.07926176021,11.1163312444,990.804406995
4.0625,3.11400029535,11.1848499904,990.701149714
4.09375,3.14895295157,11.2537802442,990.597266804
4.125,3.18412101483,11.323124343,990.492754642
4.15625,3.21950577841,11.3928846353,990.387609586
4.1875,3.25510854289,11.4630634812,990.281827976
4.21875,3.29093061627,11.5336632528,990.175406131
4.25,3.32697331393,11.6046863335,990.068340353
4.28125,3.36323795873,11.6761351188,989.960626923
4.3125,3.39972588097,11.7480120157,989.852262103
4.34375,3.43643841852,11.8203194431,989.743242138
4.375,3.47337691678,11.893059832,989.633563251
4.40625,3.51054272876,11.9662356248,989.523221646
4.4375,3.54793721508,12.0398492762,989.412213509
4.46875,3.58556174407,12.1139032528,989.300535003
4.5,3.62341769174,12.1884000329,989.188182275
4.53125,3.66150644184,12.2633421073,989.075151451
4.5625,3.69982938592,12.3387319783,988.961438636
4.59375,3.73838792336,12.4145721609,988.847039916
4.625,3.77718346136,12.4908651816,988.731951357
4.65625,3.81621741505,12.5676135795,988.616169005
4.6875,3.85549120749,12.6448199058,988.499688887
4.71875,3.89500626969,12.7224867236,988.382507007
4.75,3.93476404071,12.8006166088,988.264619351
4.78125,3.97476596761,12.8792121491,988.146021883
4.8125,4.01501350557,12.9582759447,988.02671055
4.84375,4.0555081179,13.0378106082,987.906681274
4.875,4.09625127605,13.1178187645,987.785929959
4.90625,4.13724445969,13.1983030509,987.664452489
4.9375,4.17848915672,13.2792661173,987.542244726
4.96875,4.21998686334,13.3607106257,987.419302511
5.0,4.26173908405,13.4426392509,987.295621665
5.03125,4.30374733171,13.5250546802,987.171197988
5.0625,4.34601312758,13.6079596134,987.046027259
5.09375,4.38853800137,13.6913567628,986.920105236
5.125,4.43132349126,13.7752488534,986.793427655
5.15625,4.47437114392,13.859638623,986.665990233
5.1875,4.51768251462,13.9445288216,986.537788664
5.21875,4.56125916719,14.0299222125,986.40881862
5.25,4.6051026741,14.1158215711,986.279075755
5.28125,4.64921461651,14.2022296861,986.148555697
5.3125,4.69359658428,14.2891493586,986.017254057
5.34375,4.73825017603,14.3765834026,985.885166421
5.375,4.78317699916,14.4645346449,985.752288356
5.40625,4.82837866992,14.5530059253,985.618615405
5.4375,4.87385681344,14.6420000964,985.48414309
5.46875,4.91961306374,14.7315200234,985.348866913
5.5,4.96564906382,14.8215685849,985.212782351
5.53125,5.01196646564,14.912148672,985.075884862
5.5625,5.05856693024,15.0032631891,984.938169881
5.59375,5.10545212771,15.0949150534,984.799632819
5.625,5.15262373725,15.1871071951,984.660269068
5.65625,5.20008344724,15.2798425576,984.520073995
5.6875,5.24783295523,15.373124097,984.379042948
5.71875,5.29587396803,15.4669547828,984.237171249
5.75,5.34420820173,15.5613375975,984.094454201
5.78125,5.39283738172,15.6562755365,983.950887082
5.8125,5.44176324277,15.7517716086,983.806465149
5.84375,5.49098752905,15.8478288356,983.661183635
5.875,5.54051199416,15.9444502524,983.515037753
5.90625,5.5903384012,16.0416389071,983.368022692
5.9375,5.64046852278,16.1393978612,983.220133616
5.96875,5.6909041411,16.237730189,983.07136567
6.0,5.74164704794,16.3366389783,982.921713974
6.03125,5.79269904475,16.4361273301,982.771173625
6.0625,5.84406194265,16.5361983586,982.619739699
6.09375,5.89573756252,16.6368551912,982.467407246
6.125,5.947727735,16.7381009685,982.314171296
6.15625,6.00003430052,16.8399388447,982.160026855
6.1875,6.05265910941,16.942371987,982.004968904
6.21875,6.10560402187,17.0454035758,981.848992402
6.25,6.15887090805,17.1490368052,981.692092287
6.28125,6.21246164806,17.2532748823,981.53426347
6.3125,6.26637813207,17.3581210275,981.37550084
6.34375,6.32062226028,17.4635784748,981.215799265
6.375,6.37519594301,17.5696504712,981.055153586
6.40625,6.43010110074,17.6763402773,980.893558622
6.4375,6.4853396641,17.783651167,980.731009169
6.46875,6.540913574,17.8915864273,980.567499999
6.5,6.59682478159,18.0001493588,980.40302586
6.53125,6.65307524833,18.1093432755,980.237581476
6.5625,6.70966694607,18.2191715045,980.071161549
6.59375,6.76660185702,18.3296373865,979.903760757
6.625,6.82388197385,18.4407442753,979.735373751
6.65625,6.88150929971,18.5524955384,979.565995162
6.6875,6.93948584827,18.6648945563,979.395619595
6.71875,6.99781364376,18.777944723,979.224241633
6.75,7.05649472102,18.8916494459,979.051855833
6.78125,7.11553112554,19.0060121456,978.878456729
6.8125,7.17492491349,19.1210362561,978.70403883
6.84375,7.23467815179,19.2367252248,978.528596623
6.875,7.29479291812,19.3530825122,978.35212457
6.90625,7.35527130097,19.4701115925,978.174617107
6.9375,7.4161153997,19.5878159527,977.996068648
6.96875,7.47732732455,19.7061990934,977.816473582
7.0,7.53890919672,19.8252645285,977.635826275
7.03125,7.60086314837,19.9450157849,977.454121067
7.0625,7.66319132269,20.0654564032,977.271352274
7.09375,7.72589587395,20.1865899367,977.087514189
7.125,7.78897896751,20.3084199524,976.90260108
7.15625,7.85244277986,20.4309500301,976.71660719
7.1875,7.9162894987,20.5541837631,976.529526738
7.21875,7.98052132296,20.6781247577,976.341353919
7.25,8.04514046283,20.8027766333,976.152082904
7.28125,8.11014913981,20.9281430227,975.961707838
7.3125,8.17554958675,21.0542275714,975.770222842
7.34375,8.24134404792,21.1810339383,975.577622014
7.375,8.30753477897,21.3085657953,975.383899426
7.40625,8.37412404708,21.4368268271,975.189049126
7.4375,8.44111413092,21.5658207318,974.993065137
7.46875,8.5085073207,21.69555122,974.795941459
7.5,8.57630591827,21.8260220157,974.597672066
7.53125,8.64451223707,21.9572368555,974.398250907
7.5625,8.71312860224,22.0891994889,974.197671909
7.59375,8.78215735064,22.2219136785,973.995928971
7.625,8.85160083089,22.3553831994,973.79301597
7.65625,8.92146140339,22.4896118397,973.588926757
7.6875,8.99174144038,22.6246034,973.38365516
