00:00:00:100		R_CD			0.0506272
00:00:00:101		R_CD			0.0511335
00:00:00:102		R_CD			0.0516448
00:00:00:103		R_CD			0.0521613
00:00:00:104		R_CD			0.0526829
00:00:00:105		R_CD			0.0532097
00:00:00:106		R_CD			0.0537418
00:00:00:107		R_CD			0.0542792
00:00:00:108		R_CD			0.054822
00:00:00:110		R_CD			0.0553702
00:00:00:111		R_CD			0.0559239
00:00:00:112		R_CD			0.0564832
00:00:00:113		R_CD			0.057048
00:00:00:114		R_CD			0.0576185
00:00:00:115		R_CD			0.0581947
00:00:00:116		R_CD			0.0587766
00:00:00:117		R_CD			0.0593644
00:00:00:119		R_CD			0.059958
00:00:00:120		R_CD			0.0605576
00:00:00:121		R_CD			0.0611632
00:00:00:122		R_CD			0.0617748
00:00:00:123		R_CD			0.0623926
00:00:00:125		R_CD			0.0630165
00:00:00:126		R_CD			0.0636466
00:00:00:127		R_CD			0.0642831
00:00:00:128		R_CD			0.0649259
00:00:00:130		R_CD			0.0655752
00:00:00:131		R_CD			0.066231
00:00:00:132		R_CD			0.0668933
00:00:00:133		R_CD			0.0675622
00:00:00:135		R_CD			0.0682378
00:00:00:136		R_CD			0.0689202
00:00:00:137		R_CD			0.0696094
00:00:00:139		R_CD			0.0703055
00:00:00:140		R_CD			0.0710085
00:00:00:142		R_CD			0.0717186
00:00:00:143		R_CD			0.0724358
00:00:00:144		R_CD			0.0731602
00:00:00:146		R_CD			0.0738918
00:00:00:147		R_CD			0.0746307
00:00:00:149		R_CD			0.075377
00:00:00:150	I_CD			5.15151
00:00:00:150		R_CD			0.0761308
00:00:00:152		R_CD			0.0768921
00:00:00:153		R_CD			0.077661
00:00:00:155		R_CD			0.0784376
00:00:00:156		R_CD			0.079222
00:00:00:158		R_CD			0.0800142
00:00:00:159		R_CD			0.0808143
00:00:00:161		R_CD			0.0816225
00:00:00:162		R_CD			0.0824387
00:00:00:164		R_CD			0.0832631
00:00:00:166		R_CD			0.0840957
00:00:00:167		R_CD			0.0849367
00:00:00:169		R_CD			0.0857861
00:00:00:171		R_CD			0.0866439
00:00:00:172		R_CD			0.0875104
00:00:00:174		R_CD			0.0883855
00:00:00:176		R_CD			0.0892693
00:00:00:177		R_CD			0.090162
00:00:00:179		R_CD			0.0910636
00:00:00:181		R_CD			0.0919743
00:00:00:183		R_CD			0.092894
00:00:00:185		R_CD			0.0938229
00:00:00:186		R_CD			0.0947612
00:00:00:188		R_CD			0.0957088
00:00:00:190		R_CD			0.0966659
00:00:00:192		R_CD			0.0976325
00:00:00:194		R_CD			0.0986089
00:00:00:196		R_CD			0.0995949
00:00:00:198		R_CD			0.100591
00:00:00:200	I_CD			5.20302
00:00:00:200		R_CD			0.101597
00:00:00:202		R_CD			0.102613
00:00:00:204		R_CD			0.103639
00:00:00:206		R_CD			0.104675
00:00:00:208		R_CD			0.105722
00:00:00:210		R_CD			0.106779
00:00:00:212		R_CD			0.107847
00:00:00:214		R_CD			0.108926
00:00:00:216		R_CD			0.110015
00:00:00:218		R_CD			0.111115
00:00:00:220		R_CD			0.112226
00:00:00:222		R_CD			0.113348
00:00:00:224		R_CD			0.114482
00:00:00:227		R_CD			0.115627
00:00:00:229		R_CD			0.116783
00:00:00:231		R_CD			0.117951
00:00:00:233		R_CD			0.11913
00:00:00:236		R_CD			0.120322
00:00:00:238		R_CD			0.121525
00:00:00:240		R_CD			0.12274
00:00:00:243		R_CD			0.123967
00:00:00:245		R_CD			0.125207
00:00:00:247		R_CD			0.126459
00:00:00:250	I_CD			5.25505
00:00:00:250		R_CD			0.127724
00:00:00:252		R_CD			0.129001
00:00:00:255		R_CD			0.130291
00:00:00:257		R_CD			0.131594
00:00:00:260		R_CD			0.13291
00:00:00:262		R_CD			0.134239
00:00:00:265		R_CD			0.135581
00:00:00:267		R_CD			0.136937
00:00:00:270		R_CD			0.138307
00:00:00:273		R_CD			0.13969
00:00:00:275		R_CD			0.141086
00:00:00:278		R_CD			0.142497
00:00:00:281		R_CD			0.143922
00:00:00:283		R_CD			0.145362
00:00:00:286		R_CD			0.146815
00:00:00:289		R_CD			0.148283
00:00:00:292		R_CD			0.149766
00:00:00:295		R_CD			0.151264
00:00:00:298		R_CD			0.152776
00:00:00:300	I_CD			5.3076
00:00:00:300		R_CD			0.154304
00:00:00:303		R_CD			0.155847
00:00:00:306		R_CD			0.157406
00:00:00:309		R_CD			0.15898
00:00:00:312		R_CD			0.16057
00:00:00:315		R_CD			0.162175
00:00:00:318		R_CD			0.163797
00:00:00:321		R_CD			0.165435
00:00:00:325		R_CD			0.167089
00:00:00:328		R_CD			0.16876
00:00:00:331		R_CD			0.170448
00:00:00:334		R_CD			0.172152
00:00:00:337		R_CD			0.173874
00:00:00:341		R_CD			0.175613
00:00:00:344		R_CD			0.177369
00:00:00:347		R_CD			0.179142
00:00:00:350	I_CD			5.36068
00:00:00:351		R_CD			0.180934
00:00:00:354		R_CD			0.182743
00:00:00:357		R_CD			0.184571
00:00:00:361		R_CD			0.186416
00:00:00:364		R_CD			0.18828
00:00:00:368		R_CD			0.190163
00:00:00:371		R_CD			0.192065
00:00:00:375		R_CD			0.193986
00:00:00:379		R_CD			0.195925
00:00:00:382		R_CD			0.197885
00:00:00:386		R_CD			0.199863
00:00:00:390		R_CD			0.201862
00:00:00:393		R_CD			0.203881
00:00:00:397		R_CD			0.20592
00:00:00:400	I_CD			5.41428
00:00:00:401		R_CD			0.207979
00:00:00:405		R_CD			0.210059
00:00:00:409		R_CD			0.212159
00:00:00:413		R_CD			0.214281
00:00:00:417		R_CD			0.216424
00:00:00:421		R_CD			0.218588
00:00:00:425		R_CD			0.220774
00:00:00:429		R_CD			0.222981
00:00:00:433		R_CD			0.225211
00:00:00:437		R_CD			0.227463
00:00:00:441		R_CD			0.229738
00:00:00:445		R_CD			0.232035
00:00:00:450	I_CD			5.46843
00:00:00:450		R_CD			0.234356
00:00:00:454		R_CD			0.236699
00:00:00:458		R_CD			0.239066
00:00:00:463		R_CD			0.241457
00:00:00:467		R_CD			0.243871
00:00:00:472		R_CD			0.24631
00:00:00:476		R_CD			0.248773
00:00:00:481		R_CD			0.251261
00:00:00:485		R_CD			0.253774
00:00:00:490		R_CD			0.256311
00:00:00:495		R_CD			0.258874
00:00:00:499		R_CD			0.261463
00:00:00:500	I_CD			5.52311
00:00:00:504		R_CD			0.264078
00:00:00:509		R_CD			0.266719
00:00:00:514		R_CD			0.269386
